actor_count	actors	category	cover_url	id	is_playable	is_watched	rank	rating	regions	release_date	score	title	types	url	vote_count
19	[张国荣, 张丰毅, 巩俐, 葛优, 英达, 蒋雯丽, 吴大维, 吕齐, 雷汉, 尹治, 马明威, 费振翔, 智一桐, 李春, 赵海龙, 李丹, 童弟, 沈慧芬, 黄斐]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p1910813120.jpg	1291546	True	False	1	[9.5, 50]	[中国大陆, 香港]	1993-01-01	9.5	霸王别姬	[剧情, 爱情, 同性]	https://movie.douban.com/subject/1291546/	629403
10	[伊恩·麦克莱恩, 德里克·雅各比, 弗朗西斯·德·拉·图瓦, 伊万·瑞恩, 玛西娅·沃伦, 菲利普-沃斯, 艾琳·阿特金斯, 弗兰西斯·巴贝, 阿利斯泰尔·布拉默, 理查德·加德]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p2360539785.jpg	26700818	False	False	2	[9.3, 50]	[英国]	2016-06-19	9.3	极品基老伴：完结篇	[喜剧, 同性]	https://movie.douban.com/subject/26700818/	13516
5	[蒂莫西·柴勒梅德, 艾米·汉莫, 迈克尔·斯图巴, 阿蜜拉·卡萨, 艾斯特·加莱尔]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p2494250616.jpg	26799731	False	False	3	[9.3, 50]	[意大利, 法国, 巴西, 美国]	2017-01-22	9.3	请以你的名字呼唤我	[爱情, 同性]	https://movie.douban.com/subject/26799731/	739
3	[张国荣, 梁朝伟, 张震]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p465939041.jpg	1292679	False	False	4	[8.8, 45]	[香港, 日本, 韩国]	1997-05-30	8.8	春光乍泄	[剧情, 爱情, 同性]	https://movie.douban.com/subject/1292679/	240127
5	[赵文瑄, 归亚蕾, 金素梅, 郎雄, 米切尔·利希藤斯坦]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p2173713676.jpg	1303037	False	False	5	[8.8, 45]	[台湾, 美国]	1993-08-04	8.8	喜宴	[剧情, 喜剧, 爱情, 同性, 家庭]	https://movie.douban.com/subject/1303037/	133193
5	[西格妮·韦弗, 瑞恩·凯利, 亨利·科泽尼, 丹·巴特勒, 奥斯汀·尼可斯]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p1662271271.jpg	3154003	False	False	6	[8.8, 45]	[美国]	2009-01-24	8.8	天佑鲍比	[剧情, 传记, 同性]	https://movie.douban.com/subject/3154003/	28065
12	[大卫·鲍伊, 汤姆·康蒂, 坂本龙一, 北野武, 杰克·汤普森, 约翰尼·大仓, 阿利斯泰尔·布朗宁, 内田裕也, 金田龙之介, 内藤刚志, 户浦六宏, 三上宽]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p2164311201.jpg	1303535	False	False	7	[8.7, 45]	[英国, 日本]	1983-05-28	8.7	战场上的快乐圣诞	[剧情, 战争, 同性]	https://movie.douban.com/subject/1303535/	26308
15	[詹姆斯·维尔拜, 休·格兰特, 鲁珀特·格雷夫斯, 丹霍姆·艾略特, 西蒙·卡洛, 比莉·怀特劳, 巴里·福斯特, 朱迪·帕瑞福特, 菲比·尼克尔斯, 帕特里克·戈弗雷, Mark Tandy, 本·金斯利, Kitty Aldridge, Helena Michell, Catherine Rabett]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p2455549510.jpg	1293456	False	False	8	[8.7, 45]	[英国]	1987-09-18	8.7	莫里斯	[剧情, 爱情, 同性]	https://movie.douban.com/subject/1293456/	24661
3	[森川智之, 三木真一郎, 森久保祥太郎]	同性	https://img3.doubanio.com/lpic/s4397425.jpg	2286133	False	False	9	[8.7, 45]	[日本]	2007-02-23	8.7	冬之蝉	[剧情, 动画, 同性]	https://movie.douban.com/subject/2286133/	6507
5	[约翰·卡梅隆·米切尔, 米利亚姆·肖尔, 安德列·马丁, 阿尔贝塔·瓦特森, 迈克尔·皮特]	同性	https://img1.doubanio.com/view/movie_poster_cover/mpst/public/p696969988.jpg	1301926	False	False	10	[8.7, 45]	[美国]	2001-07-20	8.7	摇滚芭比	[剧情, 喜剧, 同性, 音乐]	https://movie.douban.com/subject/1301926/	5082
13	[希斯·莱杰, 杰克·吉伦哈尔, 米歇尔·威廉姆斯, 安妮·海瑟薇, 凯特·玛拉, 兰迪·奎德, 琳达·卡德里尼, 安娜·法瑞丝, 格拉汉姆·贝克尔, 斯科特·迈克尔·坎贝尔, 大卫·哈伯, Roberta Maxwell, 皮特·麦克罗比]	同性	https://img1.doubanio.com/view/movie_poster_cover/mpst/public/p513535588.jpg	1418834	True	False	11	[8.6, 45]	[美国, 加拿大]	2005-09-02	8.6	断背山	[剧情, 爱情, 同性, 家庭]	https://movie.douban.com/subject/1418834/	310756
13	[马修·麦康纳, 詹妮弗·加纳, 杰瑞德·莱托, 史蒂夫·茨恩, 达拉斯·罗伯特斯, 凯文·兰金, 丹尼斯·欧哈拉, 简·麦克尼尔, 格里芬·邓恩, 詹姆斯·杜蒙特, 朱丽叶·里夫斯, 斯蒂菲·格罗特, J·D·埃弗摩尔]	同性	https://img1.doubanio.com/view/movie_poster_cover/mpst/public/p2166160837.jpg	1793929	True	False	12	[8.6, 45]	[美国]	2013-09-07	8.6	达拉斯买家俱乐部	[剧情, 传记, 同性]	https://movie.douban.com/subject/1793929/	159866
23	[汤姆·汉克斯, 丹泽尔·华盛顿, 安东尼奥·班德拉斯, 乔安娜·伍德沃德, Roberta Maxwell, 玛丽·斯汀伯根, 安·唐德, Lisa Summerour, 查尔斯·纳佩尔, 杰森·罗巴兹, Buzz Kilman, Karen Finley, 罗伯特·雷吉利, 布莱德利·惠特福德, Ron Vawter, 安娜·迪佛·史密斯, 崔西·沃特, 朱利叶斯·欧文, Edward Rendell, 钱德拉·威尔森, David Drake, 罗杰·科曼, Robert W. Castle]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p750348993.jpg	1293145	True	False	13	[8.6, 45]	[美国]	1993-12-22	8.6	费城故事	[剧情, 同性]	https://movie.douban.com/subject/1293145/	58949
5	[陈冲, 杨雅慧, 陈凌, 王进, Guang Lan Koh]	同性	https://img1.doubanio.com/view/movie_poster_cover/mpst/public/p2047680289.jpg	1421278	True	False	14	[8.6, 45]	[美国]	2004-09-12	8.6	面子	[剧情, 喜剧, 爱情, 同性]	https://movie.douban.com/subject/1421278/	27298
7	[Nicholas Le Prevost, Harriet Eastcott, 山姆·修汉, Barny Clevely, Karl Davies, Martin Hutson, Eric Carte]	同性	https://img1.doubanio.com/lpic/s4131429.jpg	2334000	False	False	15	[8.6, 45]	[英国]	2007-07-21	8.6	英伦性丑闻	[剧情, 同性]	https://movie.douban.com/subject/2334000/	1352
15	[本尼迪克特·康伯巴奇, 凯拉·奈特莉, 马修·古迪, 罗里·金奈尔, 艾伦·里奇, 马修·比尔德, 查尔斯·丹斯, 马克·斯特朗, 詹姆斯·诺斯科特, 汤姆·古德曼-希尔, 史蒂芬·威丁顿, 伊兰·古德曼, 杰克·塔尔登, 埃里克斯·劳瑟, 杰克·巴农]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p2255040492.jpg	10463953	True	False	16	[8.5, 45]	[英国, 美国]	2015-07-21	8.5	模仿游戏	[剧情, 传记, 战争, 同性]	https://movie.douban.com/subject/10463953/	239442
4	[特洛伊·格雷提, 李·佩斯, 安德鲁·布劳尔, 肖恩·海托西]	同性	https://img1.doubanio.com/view/movie_poster_cover/mpst/public/p1312964157.jpg	1773216	False	False	17	[8.5, 45]	[美国, 加拿大]	2003-05-31	8.5	迷恋荷尔蒙	[剧情, 爱情, 犯罪, 同性]	https://movie.douban.com/subject/1773216/	16651
15	[莱昂纳多·斯巴拉格利亚, 爱德华多·诺列加, 巴勃罗·埃查里, 蕾蒂西亚·布雷戴斯, Ricardo Bartis, 多洛莉丝·房兹, Carlos Roffé, Daniel Valenzuela, 赫克多·艾戴里欧, Claudio Rissi, Luis Ziembrowski, Harry Havilio, Roberto Vallejos, Adriana Varela, Ángel Alves]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p1741119681.jpg	1306454	False	False	18	[8.5, 45]	[阿根廷, 西班牙, 乌拉圭]	2000-05-11	8.5	烈焰焚币	[剧情, 爱情, 犯罪, 惊悚, 同性]	https://movie.douban.com/subject/1306454/	9964
